pali_1,pos,meaning_1,root,pattern,sbs_class
pamāṇika,adj,according to the correct measurement; of the right size; correct-sized,√mā,a adj,11
pamāda,masc,carelessness; negligence; heedlessness,√mad,a masc,2
pamādi,aor,was careless (about); neglected; was negligent (with); was heedless (about),√mad,i aor,14
pamudita,pp,pleased; delighted; happy,√mud,a pp,11
payata 1,pp,generous; liberal; open,√yam 2,a pp,11
payirupāsati 1,pr,associates closely (with); attends closely (to); sits at the feet (of),√ās,ati pr,3
payirupāsanā,fem,closely associating (with); attending (to); sitting at the feet (of),√ās,ā fem,7
payutta 3,pp,intent; devoted; applied; employed; engaged (in),√yuj,a pp,11
payojeti 1,pr,(of work) engages (in); undertakes; takes (on),√yuj,eti pr,14
para 1,pron,other; another (person),,a pron,10
parakkamati 2,pr,tries (to); strives (to); makes effort (to); endeavours (to),√kam 1,ati pr,3
parato 2,ind,as another; as alien; as something else; as belonging to somebody else; (comm) not one's own possession,,,13
parama 1,adj,highest; most extreme; very best; ultimate; superior; sublime,,a adj,11
parājita,pp,conquered; defeated,√ji 1,a pp,11
parābhava,masc,ruin; downfall; disgrace,√bhū,a masc,2
parāmāsā,ind,clinging; adhering; clutching,√mas 1,,13
parāyana 1,adj,destined for; culminating in; bound for,√i 1,a adj,11
parikassati 1.1,pr,is dragged about (by); is swept away (by); is carried away (by),√kas 1,ati pr,13
parikkhāra 1,masc,requisite; requirement; necessity; accessory; everyday item,√kar,a masc,2
paricarati 3,pr,enjoys; indulges; has sex with,√car 1,ati pr,3
paricārika,masc,attendant,√car 1,a masc,2
paricita 1,pp,practised; rehearsed; consolidated; familiarized,√ci 1,a pp,11
pariḍayhamāna,prp,being burnt (by); being tormented (by); being afflicted (by); being distressed (by),√ḍah,māna prp,13
pariṇāma 1,masc,(of food) digestion,√nam,a masc,14
pariṇāyaka 1,masc,counsellor; adviser; strategist,√nī,a masc,2
pariṇāyaka 2,masc,leader; who shows the way,√nī,a masc,2
paritassati,pr,is perturbed; is shaken; is agitated; is anguished,√tas 3,ati pr,13
parideva,masc,lamentation; wailing; crying,√dev,a masc,2
paridevaneyya,ptp,lamentable; distressing; sorrowful,√dev,a ptp,14
paridevi,aor,mourned; lamented; wailed,√dev,i aor,4
parinibbāna 1,nt,(of mental defilement) complete quenching; total emancipation; complete cooling,√vā,a nt,9
parinibbāyati 1,pr,(of mental defilement) is completely quenched; is entirely emancipated; is completely cooled,√vā,ati pr,3
parinibbuta 1,pp,(of mental defilement) completely quenched; entirely emancipated; completely cooled,√vā,a pp,11
parinibbuta 3,pp,(of an arahant) died one's final death; attained final Nibbāna,√vā,a pp,11
paripāka 1,masc,decay; deterioration,√pac,a masc,2
paripucchati,pr,asks about; questions; interrogates; enquires,√pucch,ati pr,3
paripūra 1,adj,full; filled up; complete,√pūr,a adj,11
paripūreti 1,pr,fills up; fills out,√pūr,eti pr,14
parippharati,pr,saturates; impregnates; completely infuses; spreads everywhere,√phar,ati pr,3
paribbāja,masc,homeless spiritual seeker; wandering monk,√vaj,a masc,2
paribbājaka,masc,homeless spiritual seeker; wandering ascetic,√vaj,a masc,2
parimukhaṃ 1,ind,as first priority; to the fore; (comm) directed towards the meditation object,,,13
parimuccati,pr,is completely freed (from); is totally liberated (from); escapes (from),√muc,ati pr,13
pariyantavant,adj,restricted; within limits; with defined purpose,,ant adj,6
pariyāya 4,masc,way; nature; habit; property; quality,√i 1,a masc,2
pariyāyena,ind,in one way; from a certain point of view; figuratively speaking,√i 1,,13
pariyuṭṭha,adj,obsessed (with); possessed (by); overwhelmed (by); overcome (by),√ṭhā,a adj,11
pariyesati,pr,searches; seeks; seeks out; looks (for),√es,ati pr,3
pariyodapeti,pr,cleanses (from); refines (from); purifies (from),√dā 2,eti pr,14
pariyodāta 1,pp,pure; clean; shiny; bright,√dā 2,a pp,11
pariyosāna 1,nt,end; finish; conclusion; culmination,√sā,a nt,9
parisandeti,pr,soaks; drenches,√sand,eti pr,14
parisujjhati,pr,is purified (by); is cleansed (by),√sudh,ati pr,13
parisuddha 1,pp,clean; pure; bright; perfect,√sudh,a pp,11
parisodheti,pr,cleans (from); purifies (of),√sudh,eti pr,14
parivaṭṭa 1,masc,circle,√vaṭṭ,a masc,2
parivaṇṇayi,aor,described; recommended; extolled,√vaṇṇ,i aor,4
parivīmaṃsā,fem,thorough investigation; complete examination,√man,ā fem,7
pariharati 3,pr,takes care (of); looks after; maintains,√har 1,ati pr,3
parihāpeti,pr,,√hā 2,eti pr,14
parihārika,adj,looking after; taking care of,√har 1,a adj,11
parūḷha,pp,long; grown long; overgrown,√ruh,a pp,11
palāpī,masc,chatterer; motor-mouth; talkative fellow,√lap,ī masc,5
palipanna,pp,stuck (in); immersed (in); sunk (into),√pad,a pp,11
palokato,ind,as falling apart; as disintegrating,√luj,,11
pallaṅka 2,masc,cross-legged sitting position; meditation posture,√añc,a masc,2
pallaṅkena,ind,(sitting) cross-legged,√añc,,13
pallatthikā 1,fem,sitting posture with something clasped around the knees,√as 2,ā fem,7
pasattha,pp,praised; commended; exalted,√saṃs 1,a pp,11
pasavati 2,pr,produces; generates; makes; gives birth to,√su 2,ati pr,3
pasāreti,pr,stretches out; straightens; extends,√sar 1,eti pr,14
pasu 1,masc,domestic animal; livestock; farm animal,,u masc,6
passa 1.1,nt,(of the body) side; rib,,a nt,9
passa 2.1,imp,see!; look (at)!,√dis 1,ati pr,4
passati 1,pr,sees,√dis 1,ati pr,3
passati 2,pr,understands; gets,√dis 1,ati pr,3
passati 3,pr,finds; encounters; meets with,√dis 1,ati pr,3
passaddha,pp,relaxed; calmed; tranquillised,√sambh 1,a pp,11
passaddhi,fem,calm; tranquillity; tranquillization; peace; stillness; serenity,√sambh 1,i fem,8
passanta 1,prp,seeing,√dis 1,anta prp,10
passambhati,pr,calms down; relaxes; becomes quiet,√sambh 1,ati pr,3
passasati,pr,exhales; breathes out,√sas 1,ati pr,3
passasanta,prp,exhaling; breathing out,√sas 1,anta prp,10
passasissati,fut,will exhale; will breathe out,√sas 1,ati pr,5
passāva,masc,urine,√su 2,a masc,2
passeyya 1,opt,could see; would see,√dis 1,ati pr,7
pavaḍḍhati 1,pr,increases; develops; grows,√vaḍḍh,ati pr,3
pavattamāna 1,prp,rolling forward; rolling down; flowing,√vatt,māna prp,10
pavattar 1,masc,proclaimer (of); who tells about; who points out,√vac,ar masc,6
pavana 1.1,nt,woodland; forest,,a nt,9
pavāraṇā 2,fem,(vinaya) invitation ceremony at the end of the rains retreat,√var 2,ā fem,7
pavicaranta,prp,,√car 1,anta prp,10
pavisati,pr,enters; goes (into),√vis 1,ati pr,3
pavivitta,pp,separated; secluded; detached (from),√vic,a pp,11
pavuccati,pr,is called; is named; is said to be,√vac,ati pr,13
pavedita,pp,taught; explained; proclaimed; made known,√vid 2,a pp,14
paharati,pr,strikes; beats; gives a blow (to),√har 1,ati pr,3
pahātabba,ptp,should be given up (by); should be abandoned (by),√hā 1,a ptp,14
pahāna,nt,giving up (of); letting go (of); removal (of); abandoning (of),√hā 1,a nt,9
pahāya 1,ger,leaving behind; giving up; abandoning,√hā 1,,8
pahita 1.1,pp,applied; directed; exercised,√dhā,a pp,11
pahīna,pp,abandoned; dispelled; eliminated; removed; given up,√hā 1,a pp,11
pahīyati 1.1,pr,is abandoned; is given up,√hā 1,ati pr,13
pahīyamāna,prp,being abandoned; being given up,√hā 1,māna prp,13
pahūta 1,pp,much; considerable; abundant; vast,√hū,a pp,11
pahoti 2,pr,is able (to); is capable (of); is qualified (to),√hū,hoti pr,4
pācittiya 1,nt,(vinaya) offence requiring confession,,a nt,9
pāceti,pr,digests,√pac,eti pr,14
pāṭikaṅkha,ptp,to be expected (for); certain (for); can be anticipated,√kaṅkh 1,a ptp,14
pāṭikulyatā,fem,aversion (to); disgust (for); revulsion (toward),√kūl,ā fem,7
pāṇa 3,masc,being; living being,√an,a masc,2
pāṇi 1,masc,hand; palm,,i masc,4
pāta 2,masc,drop; dropping,√pat 1,a masc,14
pātita,pp,dropped; felled; slain; killed,√pat 1,a pp,14
pātimokkha 2,masc,(vinaya) precepts for Buddhist monastics,√mokkh,a masc,2
pāda 1,masc,foot,√pad,a masc,2
pāpa 1,adj,evil; criminal; wrong; bad; vicious,,aī adj,11
pāpa 3,nt,evil action (in); crime (in); sin (in); wrongdoing (in); misdeed (in),,a nt,9
pāpaka 1.1,adj,bad; wicked; evil; wrong; worthless; harmful,,aka adj,11
pāpuṇāti 1,pr,reaches; arrives (at); comes (to),√ap,āti pr,3
pāpeti,pr,helps to reach; brings (to); leads (to),√ap,eti pr,14
pāmojja,nt,joy; happiness; gladness,√mud,a nt,9
pāra 1.1,nt,far side; far shore; bank on the other side; epithet of Nibbāna,,a nt,9
pārājika 1,adj,(vinaya) defeated; deposed; disqualified; expelled,√ji 1,a adj,11
pārājika 3,nt,(vinaya) offence involving defeat; transgression requiring expulsion,√ji 1,a nt,9
pāripūrī,fem,,√pūr,ī fem,8
pārima,adj,(of shore) furthest; most distant,,a adj,11
pārisuddhi 1,fem,purity; purification,√sudh,i fem,8
pārupetvā,abs,(of an outer garment) having wrapped oneself; having caused to be covered,√var 1,,14
pāla,masc,protector; keeper; guard,√pāl,a masc,2
pālaka,masc,protector; guard,√pāl,a masc,2
pālicca,nt,hoariness; grey hair,,a nt,9
pāleti,pr,protects; guards; takes care of; preserves,√pāl,eti pr,3
pāsāda,masc,mansion; stately home; palace; building with pillars,√sad,a masc,2
piṇḍa 2,masc,bit of food; alms food,√piṇḍ,a masc,2
piṇḍāya,masc,for alms; to collect alms food,√piṇḍ,a masc,9
pitar,masc,father,,ar2 masc,6
pipāsā,fem,thirst (for),√pā 1,ā fem,7
piya 1,adj,dear (to); beloved (by); loved (by),√pī,a adj,11
piya 2,adj,liked; pleasant; agreeable,√pī,a adj,11
pisuṇa,adj,(of speech) divisive; defamatory; slanderous; malicious,√pis 3,a adj,11
pīta 1.2,nt,drinking; sipping,√pā 1,a nt,11
pīti 1.1,fem,delight; heartfelt joy; pleasure; feeling of love,√pī,i fem,8
puggala,masc,person; individual,,a masc,2
pucchati,pr,asks; enquires; questions,√pucch,ati pr,3
pucchi,aor,asked; enquired; questioned,√pucch,i aor,4
pucchitabba,ptp,should be asked; could be asked,√pucch,a ptp,14
puñña 1,nt,merit; good deed; spiritual wealth,√puṇ,a nt,9
puṭṭha 1.1,pp,asked; questioned,√pucch,a pp,11
puṇṇaka 1,masc,name of a deity,√pūr,a masc,2
putta 1,masc,son; child,,a masc,2
putta 2,masc,(used to form diminutives) young man; descendent; son of,,a masc,2
puna,ind,again; once more,,,13
puppha 1,nt,flower,√pupph,a nt,9
pubba 1.1,adj,before; previous; earlier; former,,a adj,11
pubba 1.2,adj,going before; been before,,a adj,11
pubbaka 1,adj,ancient; of old; former,,a adj,11
pubbe 1,ind,before; previously; formerly; in the past,,,6
purato,ind,in front (of),,,8
puratthima,adj,eastern,,a adj,11
purima 1,adj,earlier; past; former; previous,,a adj,11
purisa 1,masc,man; person,,a masc,2
pure 2,ind,formerly; previously; in the past,,,6
puro,ind,in front; at the head; leading,,,13
pūjeti 1,pr,worships; honours; respects,√pūj,eti pr,3
pecca,ind,after death,√i 1,,13
peta 2,masc,departed; deceased; dead,√i 1,a masc,2
petī,fem,female ghost; female spirit,√i 1,ī fem,8
pesala,adj,well-behaved; good; honest,,a adj,11
pessaka,masc,messenger,√pis 1,a masc,2
poṇa 1,adj,sloping (to); inclining down (to); leading (to),√nam,a adj,11
phandamāna,prp,trembling; quivering; shivering; palpitating,√phand,māna prp,10
pharitvā 1,abs,having suffused; having pervaded; having filled,√phar,,8
pharusa 1,adj,(of speech) harsh; rough; rude; unkind,,a adj,11
phala 1.1,nt,fruit; nut; berry,√phal 2,a nt,9
phassa 1,masc,contact; sense impingement; raw experience; touch,√phus 1,a masc,2
phāliphulla,adj,flowering; in full blossom,√phull,a adj,11
phāsu 1,adj,easy (to); comfortable (for); pleasant (for),√phus 1,u adj,11
phāsu 2,masc,ease (for); comfort (for),√phus 1,u masc,6
phāsu 3,ind,easily; comfortably,√phus 1,,13
phāsuṃ,ind,easily; comfortably,√phus 1,,13
phuṭṭha 2,pp,afflicted (with); suffering (from),√phus 1,a pp,11
phusati 1,pr,touches; contacts; feels; experiences,√phus 1,ati pr,3
phusitaka,nt,droplet; small drop,√phus 2,a nt,9
phussita 1,pp,flowering; in full blossom,√phus 1,a pp,13
bajjhati 1,pr,is bound (by); is tied up (by); is caught (by); is imprisoned (by),√badh,ati pr,13
bandhati 1,pr,binds; ties up; imprisons; confines,√bandh,ati pr,3
bala 1,nt,strength; power; might,√bal,a nt,9
bala 2,nt,mental power; Dhamma strength,√bal,a nt,9
balavant 1,adj,strong; powerful,√bal,ant adj,6
balibadda,masc,ox; bull,,a masc,2
balibaddha,masc,ox; bull,,a masc,2
bahiddhā 1,ind,externally; outwardly,√bah 1,,13
bahu,adj,many; much; lots (of); a lot (of); great; large,√bah 2,u adj,11
bahujanasukhāya,nt,for the comfort of many people; for the ease of the masses,,a nt,9
bahujanahitāya,nt,for the benefit of many people; for the good of the population,,a nt,9
bahudhā,ind,in many ways; in many forms,√bah 2,,13
bahulaṃ,ind,often; frequently,√bah 2,,13
bahulī,adj,abundant; full of,√bah 2,ī adj,5
bārāṇasī 1,fem,name of a city; modern Varanasi,,ī fem,8
bāla 1,adj,foolish; ignorant; stupid; immature,,a adj,11
bāhā 1,fem,arm; forearm,√bah 2,ā fem,7
bāhiya,masc,name of an ascetic; great disciple of the Buddha; foremost disciple in quick realization; Bāhiya Dārucīriya,√bah 1,a masc,2
bāhu,masc,arm; forearm,√bah 2,u masc,6
bāhulla 1,nt,excess (of); over-abundance (of),√bah 2,a nt,9
bāḷhaṃ,ind,excessively; overly; too,√bah 2,,13
biḷāra,masc,cat,,a masc,2
buddha 1,masc,Buddha; Awakened One,√budh,a masc,11
byatta,pp,experienced; learned; competent; trained,√añj 1,a pp,11
byākaraṇīya,ptp,should be answered; to be replied (to),√kar,a ptp,14
byākarissati,fut,will explain; will define; will describe,√kar,oti pr,5
byākāsi 1,aor,answered; replied,√kar,āsi aor,4
byādhi,masc,sickness; disease; illness,√dhā,i masc,4
byāpajjati 1,pr,hates; dislikes; is repelled (by); is hostile (to),√pad,ati pr,3
byāpanna,pp,malevolent; evil; hating,√pad,a pp,11
byāpāda,masc,dislike; ill-will; hatred; hostility; enmity; malevolence,√pad,a masc,2
byābādha,masc,injury; harm; affliction,√bādh,a masc,2
byāma,masc,"fathom; measure of length; from head to foot, or two arms extended",√yam 2,a masc,2
byārosanā,fem,causing anger; infuriating,√rus,ā fem,14
brahma 4,adj,divine; holy; (comm) highest; distinguished,√brah,a adj,11
brāhmaṇa 1,masc,Brahman; priest; man of the Brahman caste,√brah,a masc,2
brāhmaṇa 2,masc,arahant; awakened being; saint; paragon,√brah,a masc,2
brūhi,imp,say!; tell!; speak!,√brū,brūti pr,4
bhagavant 1,masc,Sublime One; Blessed One; Fortunate One; Auspicious One; epithet of the Buddha,√bhaj 1,ant masc,6
bhajati 1.1,pr,associates (with); keeps company (with),√bhaj 2,ati pr,3
bhajitabba,ptp,should be associated with; should be kept company with; should be adhered to; (comm) should be stuck to,√bhaj 2,a ptp,14
bhaññamāna 1,prp,being spoken; being told; being mentioned,√bhaṇ,māna prp,13
bhaṇati 1,pr,speaks; says; tells,√bhaṇ,ati pr,3
bhatta 1.1,nt,food; boiled rice,√bhaj 1,a nt,11
bhadra 1,adj,fortunate; blessed; lucky; auspicious; good,√bhad,a adj,11
bhadra 3,nt,good fortune; good luck,√bhad,a nt,9
bhaya 3,nt,danger (of; from); peril (of; from),√bhī,a nt,9
bhayato,ind,,√bhī,,11
bhava 1,imp,be!; you must be!,√bhū,ati pr,4
bhava 2,masc,being; becoming; existence,√bhū,a masc,2
bhava 3,masc,state of existence; form of becoming,√bhū,a masc,2
bhavati 1,pr,is; is being; becomes,√bhū,ati pr,3
bhavissati 1,fut,could be; should be,√bhū,issati fut,5
durabhisambhava 2,adj,hard to attain; difficult to achieve,√bhū,a adj,11
bhātar,masc,brother,,ar2 masc,6
bhāra 1,masc,burden; load; weight,√bhar,a masc,2
bhāsati 1.1,pr,speaks (about); talks (about),√bhās 1,ati pr,3
bhāsamāna,prp,speaking (about); talking (about); saying,√bhās 1,māna prp,10
bhāsita 1,nt,saying; speech; statement; utterance; talk; words,√bhās 1,a nt,11
bhāsita 2,pp,said (by); spoken (by); recited (by),√bhās 1,a pp,11
bhāsitar,masc,speaker; who talks (about),√bhās 1,ar masc,6
bhāva 1,masc,state; condition; characteristic; nature,√bhū,a masc,2
bhāvanā 1,fem,developing; cultivating; meditating,√bhū,ā fem,14
bhāvanīya 1,ptp,respected; honoured; worthy of esteem,√bhū,a ptp,14
bhāvayati,pr,cultivates; develops,√bhū,ati pr,14
bhāvita 1,pp,cultivated; developed,√bhū,a pp,14
bhāviyamāna,prp,being cultivated; being developed,√bhū,māna prp,14
bhāvetabba,ptp,should be cultivated; should be developed,√bhū,a ptp,14
bhāveti,pr,cultivates; develops,√bhū,eti pr,14
bhāvetuṃ,inf,to cultivate; to develop; to grow; to increase,√bhū,,14
bhikkhu,masc,monk; monastic; mendicant; fully ordained monk,√bhikkh,u masc,6
bhikkhunī,fem,nun; fully ordained nun,√bhikkh,ī fem,8
bhiyyo,ind,more (than); greater than (than); better than (than); superior (to),√bhū,,13
bhiyyoso,ind,still more (than); even more (than); even greater (than); exceeding,√bhū,,13
bhujissa 1,adj,cleansing; freeing; liberating,,a adj,11
bhuñjati 1,pr,eats; consumes,√bhuj 1,ati pr,3
bhuñjamāna,prp,eating; consuming,√bhuj 1,māna prp,10
bhuñjitvā,abs,having eaten,√bhuj 1,,8
bhumma 1,adj,earthly; terrestrial,√bhū,a adj,11
bhusaṃ 1,ind,intensely; exceedingly; very; strongly,√bhus,,13
bhūta 1,pp,existing; born; living,√bhū,a pp,11
bhūta 2,pp,true; correct; genuine; accurate,√bhū,a pp,11
bhūta 3,nt,being; living being; entity,√bhū,a nt,11
bhūmaka 1,adj,from the area; of the region,√bhū,aka adj,11
bhūmi 1,fem,earth; ground,√bhū,i fem,8
bheda 1,masc,death,√bhid,a masc,2
bheda 2,masc,(vinaya) schism; split; breakup,√bhid,a masc,2
bhedana 3,nt,breaking; splitting apart; dividing,√bhid,a nt,9
bhesajja,nt,medicine; remedy; tonic; drug,,a nt,9
bhoga 1.1,masc,wealth; possessions; property; riches,√bhuj 1,a masc,2
bhogī 1.1,adj,enjoying; using; experiencing; partaking in,√bhuj 1,ī adj,5
bhojana 2,nt,eating; taking food,√bhuj 1,a nt,9
makkaṭa,masc,monkey; ape,,a masc,2
makkha,masc,depreciating; denigrating; smirching,√makkh,a masc,2
magga 1,masc,road; path; track; way,√magg,a masc,2
magga 2,masc,way; means; method,√magg,a masc,2
maṅgala 1,nt,what is auspicious; blessing; good omen; prosperity,√maṅg,a nt,9
maccu,masc,death; Death,√mar,u masc,6
macchera,nt,selfishness (for); stinginess (about); meanness; tight-fistedness,,a nt,9
majjha 2,masc,middle,,a masc,2
majjhima 1,adj,middle; middling; medium; medium-sized; moderate,,a adj,11
maññati 1,pr,thinks; imagines; conceives; presumes; supposes,√man,ati pr,3
maññita 1,nt,imagination; make-believe; speculation; the conceived,√man,a nt,11
maṇḍana,nt,adorning; embellishing; beautifying oneself,√maṇḍ,a nt,9
matta 1.1,pp,amount of; as many as; measure of; consisting of,√mā,a pp,11
matta 1.2,pp,mere; simple; the fact of; by virtue of,√mā,a pp,11
mattaññū,adj,knowing the correct measure (in); knowing the limit (in); moderate (in),,ū adj,6
mattikā,fem,clay; earth,√madd,ā fem,7
mada 1,masc,excess; pleasure; indulgence,√mad,a masc,2
manāpa 1,adj,pleasant; likeable; attractive; agreeable,,a adj,11
manussa,masc,human being; man; person,,a masc,2
maya,adj,made of; constructed by,√mā,a adj,11
maraṇa,nt,death; dying,√mar,a nt,9
mala 1,nt,dirt; impurity; stain; dross; filth; grime; tarnish; grunge; contaminant,√mal,a nt,9
mahanta 1,adj,big; great; large; grand; vast; extensive,√mah 1,anta adj,11
maṃsa 1,nt,meat; flesh,,a nt,9
mā 1.1,ind,do not; may one not; don’t let,,,5
māṇava 1,masc,young man; young gentleman; young Brahman,,a masc,2
mātar,fem,mother,,mātar fem,8
mātucchā,fem,maternal aunt; mother’s sister,,ā fem,7
mātulānī,fem,mother’s brother’s wife; aunt,,ī fem,8
māna 1.1,masc,pride; conceit; egotism; superiority; comparing oneself,√man,a masc,2
mānasa 2,nt,mind; heart; mentality; intention,√man,a nt,9
māneti,pr,honours; reveres; holds in high esteem; (comm) loves,√man,eti pr,14
māra,masc,death; Death; death personified,√mar,a masc,2
mālika,adj,wearing garlands; wreathed in flowers,,a adj,11
māsa 1.1,masc,month,√mā,a masc,2
māsa 2.1,masc,bean,,a masc,2
micchā 1,ind,false; untrue; wrong,,,13
mitta 1,masc,friend,√mitt,a masc,2
mukha 3,nt,face,,a nt,9
mukha 5,nt,cause; means; way; (comm) door; source,,a nt,9
mugga,masc,mung beans,√mud,a masc,2
muccati 1.1,pr,is free (from); becomes free (from); is released (from),√muc,ati pr,13
muñcati 2,pr,gets angry (with),√muc,ati pr,3
muñcitvā 1,abs,having released; having let go,√muc,,8
muṇḍaka 2,masc,shaveling; skinhead; baldy,√muṇḍ,a masc,2
mutta 2.1,pp,released (from); freed (from); liberated (from); let loose (from),√muc,a pp,11
muditā,fem,happiness (for); appreciation; sympathetic joy,√mud,ā fem,7
mudu 1,adj,soft; mild,√mud,u adj,11
muni 1,masc,monk; sage; seer; hermit; silent sage,√mun,i masc,4
musā 2,ind,falsely; untruthfully,√mus 1,,13
mūla 1,nt,(of a tree) root; base; foot,√mūl,a nt,9
mūla 2,nt,source; origin; root,√mūl,a nt,9
mūsi,masc,rat; mouse,√mus 2,i masc,4
mūḷha 1,masc,foolish person; deluded man; madman,√muh,a masc,11
metta 1,adj,friendly; benevolent; kind,√mitt,a adj,11
mettā,fem,goodwill (towards); friendliness (to); benevolence (for),√mitt,ā fem,7
methuna 1,adj,sexual,√mith,a adj,11
medhāvī,masc,intelligent man; wise man; who has good judgment,√medh 1,ī masc,5
moggallāna 1,masc,name of a monk; chief disciple; great disciple of the Buddha; foremost disciple in psychic power,,a masc,2
mogha,adj,useless; pointless; futile; ineffective; unprofitable; vain,√muh,a adj,11
mosa 2.1,adj,untrue; false; deceitful,√mus 1,a adj,11
moha 1,masc,illusion; delusion; hallucination,√muh,a masc,2
yakkhī,fem,female supernatural being; female spirit; daemoness,√yakkh,ī fem,8
yato 2,ind,since; because; due to the fact that,,,8
yattha,ind,wherever; where; when; in which,,,8
yathā 1,ind,like; as; as per; according to; how; in whatever way,,,13
yadā,ind,when; whenever,,,6
yamaka 1,adj,pair; twin,√yam 2,a adj,11
yamaka 2,masc,name of a monk,√yam 2,a masc,2
yasassī 1,adj,famous; renowned; illustrious; celebrated,,ī adj,5
yasmā,ind,because; since,,,13
yasmiṃ samaye,idiom,whenever; at whichever time,,,10
yassatthāya,masc,for which purpose; for which reason,,a masc,9
yāgu,fem,rice gruel; congee,,u fem,8
yāca,nt,something asked for; begged item,√yāc,a nt,9
yācati 1,pr,asks (for); begs (for); requests,√yāc,ati pr,3
yāpetuṃ,inf,to sustain oneself (with); to support oneself (by); to keep oneself going,√yā,,14
yāma 1,masc,watch (of the night); one eighth of the day; about three hours,√yam 1,a masc,2
yāvataka,adj,as much as; as long as; as big as; as far as,,a adj,11
yāvatā 1,ind,as long as; as far as; of all; to the extent that,,,13
yāvant,adj,as many as; however many,,ant adj,6
yiṭṭha 1,pp,given (as a gift); offered,√yaj,a pp,11
yutta 3,pp,engaged (in); practising (to),√yuj,a pp,11
yena 2,ind,because of; because of which,,,9
yena 3,ind,where; wherever; in which direction; to; towards,,,9
yogī,masc,meditator; practitioner,√yuj,ī masc,5
yoniso,ind,properly; prudently; thoroughly; carefully; intelligently,√yu,,13
rakkhati 1,pr,protects; guards; watches over,√rakkh,ati pr,3
raṭṭha,nt,country; land; kingdom; realm,√rāj,a nt,9
rata,pp,delighted (with); devoted (to); taking pleasure (in); pleased (with); enjoying,√ram 1,a pp,11
ratana 1,nt,jewel; gem; gemstone,,a nt,9
rattaññū,adj,old; experienced; of long standing,,ū adj,6
ratto,ind,by night; at night,,,13
rasa 1,masc,taste; flavour,√ras,a masc,2
raho 1,ind,privately; secretly; in seclusion; alone,√rah,,13
rāga 1.1,masc,desire (for); passion (for); infatuation (with); lust (for),√raj 1,a masc,2
rājañña,masc,man of the ruling class; young noble,√rāj,a masc,2
rāhula,masc,name of an arahant monk; Buddha's son,,a masc,2
rukkha 1,masc,tree,,a masc,2
ruci,fem,liking; preference; choice; inclination; approval,√ruc,i fem,8
ruppanta,prp,being hurt; being oppressed; suffering,√rup,anta prp,13
rūpa 1,nt,matter; material thing; materiality; experience of material world; physical objects of consciousness; first of the five aggregates,√rūp,a nt,9
rūpa 3,nt,(object of the eye) form; material form; shape; sight,√rūp,a nt,9
rūpa 4,adj,of character; having nature of; of type; of kind; having the quality of,√rūp,a adj,11
rūpavant 1,adj,material; physical; having material form; possessing form,√rūp,ant adj,6
rūhati 1,pr,grows; ascends; increases,√ruh,ati pr,3
rogato,ind,as disease; as illness,√ruj,,11
roceti,pr,approves (of); agrees (with); finds pleasing,√ruc,eti pr,14
lakkhaṇa 1,nt,auspicious sign; birthmark; prognosticative mark,√lakkh,a nt,9
lajjī,adj,who has conscience; sensitive,√lajj,ī adj,5
laddha 1,pp,obtained; gained; won; received,√labh,a pp,11
laddhāna,abs,having got; having obtained,√labh,,8
labbhati 3,pr,is possible to get (to),√labh,ati pr,13
labhati 1,pr,gets; receives; obtains,√labh,ati pr,3
lahu 1,adj,quick; fast; swift,,u adj,11
licchavi,masc,name of a prominent group of Khattiyas based in Vesālī,,i masc,4
luddha 2,pp,,√lubh 1,a pp,11
loka 1,masc,world; universe; cosmos,√lok,a masc,2
loka 2,masc,world; plane of existence,√lok,a masc,2
lokavidū,masc,who understands the world; who knows the world; epithet of the Buddha,,ū masc,6
loṇa 1,adj,salty,,a adj,11
loma 1,masc,body hair,,a masc,2
lohita 1,nt,blood,,a nt,9
saka 1,adj,one’s own; my own,,a adj,11
saka 2,nt,"one’s own (property, possessions, etc.)",,a nt,9
sakuṇa,masc,bird,,a masc,2
sakka 1,ptp,able; capable; proficient,√sak,a ptp,14
sakka 3,masc,Sakyan; man of the Sakyan race,√sak,a masc,2
sakkā nu,idiom,is it possible (to)?; is one able (to)?,,,9
sakkā 1,ind,it is possible (to); one is able (to),√sak,,9
sakkuṇāti,pr,is able (to),√sak,āti pr,3
sakkoti,pr,is able (to),√sak,oti pr,3
sakya 2,adj,of the Sakyan family,√sak,a adj,11
sagga 1.1,adj,heavenly,√sar 4,a adj,11
saṅkhata,pp,created; constructed; conditioned; fabricated,√kar,a pp,11
saṅkhā 2,fem,definition; classification; concept; category,√khā,ā fem,7
saṅkhāra 1,masc,intention; volitional formation; choice; karmic activity,√kar,a masc,2
saṅkhāra 3,masc,mental formation; mental activity; thought processes; fourth of the five aggregates,√kar,a masc,2
saṅga 1,masc,tie; bond; snare; sticking point,√sañj,a masc,2
saṅgara 1,masc,dealing; bargaining; negotiating; transacting,√gir 2,a masc,2
saṅgaha 1,masc,support (of); maintenance (of); looking after,√gah,a masc,2
saṅgaha 3,masc,friendliness; collaboration; mutual assistance; good relationship,√gah,a masc,2
saṅgha 1,masc,community; monastic order; assembly of monks,√ghaṭ 2,a masc,2
saṅghāṭi 1,fem,outer robe; double robe; patchwork robe,√ghaṭ 2,i fem,8
saṅghāṭika,masc,ascetic who wears a patchwork robe; patchwork robe wearer,√ghaṭ 2,a masc,2
