pali,pos,meaning,root,construction,pattern,cl.
yathākammaṃ 1,ind,according to one's deeds,,"yathā + kamma + aṃ
yathākammaa + ṃ",,20
yathāṭhita,adj,however it is standing; just as it is positioned,,yathā + ṭhita,a adj,19
yathādhammaṃ,ind,fairly; correctly; justly; legally,,"yathā + dhamma + aṃ
yathādhamma + aṃ",,20
yathāninnaṃ,ind,downwards,,"yathā + ninna + aṃ
yathāninn + aṃ",,20
yathāpaññatta,adj,as decreed; as prescribed; as formulated,,yathā + paññatta,a adj,19
yathāpaṭipanna,adj,which practised; when followed,,yathā + paṭipanna,a adj,19
yathāpaṇihita,adj,however it is positioned; however it is disposed,,yathā + paṇihita,a adj,19
yathāpi,sandhi,just like; just as,,yathā + api,,16
yathābālaṃ,ind,so foolishly; so stupidly,,"yathā + bāla + aṃ
yathābāla + aṃ",,20
yathābhūtaṃ,ind,as it truly is; in reality,,"yathā + bhūta + aṃ
yathābhūta + aṃ",,20
yathāmūḷhaṃ,ind,so misguidedly; so stupidly; so foolishly,,"yathā + mūḷha + aṃ
yathāmūḷha + aṃ",,20
yathāyaṃ,sandhi,like this; so that this,,yathā + ayaṃ,,16
yathāsukhaṃ,ind,as one likes; as is comfortable; according to one's pleasure,,"yathā + sukha + aṃ
yathāsukha + aṃ",,20
yadapi,sandhi,whatever itself; whatever even; which just,,yad + api,,17
yadā,ind,when; whenever,,ya + dā,,6
yadi 2,ind,whether … or,,ya + di,,13
yadidaṃ,sandhi,namely; that is,,yad + idaṃ,,17
yadeva,sandhi,any; whichever,,yad + eva,,17
yannūnāhaṃ,sandhi,what if I were to; let me; I shall; perhaps I,,yaṃ + nūna + ahaṃ,,17
yamaka 1,adj,pair; twin,"√yam 1 a (support, stretch)","√yam + a + ka
yama + ka",a adj,11
yamaka 2,masc,name of a monk,"√yam 1 a (support, stretch)","√yam + a + ka
yama + ka",a masc,2
yamakasāla,masc,pair of sal trees,,yamaka + sāla,a masc,19
yamahaṃ,sandhi,whatever I; which I; that I,,yaṃ + ahaṃ,,17
yampi,sandhi,whatever indeed,,yaṃ + api,,17
yasassī 1,adj,famous; renowned; illustrious; celebrated,,yasas + sī,ī adj,5
yasavant,adj,famous; renowned,,yasas + vant,ant adj,6
yasmā 1,ind,because; since,,ya + smā,,13
yasmiṃ samaye,idiom,whenever; at whichever time,,,,10
yassa 3,sandhi,whoever to him,,yo + assa,,16
yassatthāya,masc,for which purpose; for which reason,,"yassa + attha + āya
yassartha + āya",a masc,9
yaṃnūna,sandhi,what if; lets,,yaṃ + nūna,,17
yaṃnūnāhaṃ,sandhi,what if I were to; let me; I shall; perhaps I,,yaṃ + nūna + ahaṃ,,17
yaṃpaccayāssa,sandhi,on account of which for him; because of which for him; due to which for him,,yaṃ + paccayā + assa,,17
yāgu,fem,rice gruel; congee,,,u fem,8
yāca,nt,something asked for; begged item,√yāc 1 a (beg),√yāc + a,a nt,9
yācaka,masc,beggar; mendicant,√yāc 1 a (beg),√yāc + aka,a masc,2
yācati 1,pr,asks; requests; begs (someone for something),√yāc 1 a (beg),yāca + ti,ati pr,3
yācayoga,adj,charitable; open to requests,,yāca + yoga,a adj,20
yāti 1,pr,goes; goes to; goes forward; proceeds; travels,√yā 1 a (go),yā + ti,āti pr,3
yātrā 1,fem,way of keeping going; means of sustaining; life support,√yā 1 a (go),√yā + trā,ā fem,7
yānīkata,adj,mastered; familiarized,,yāna > yānī + kata,a adj,19
yānīdha,sandhi,whichever here,,yāni + idha,,16
yāpana,nt,(of the body) sustenance (of); preservation (of); continuance (of); upkeep (of); support (of),√yā 1 *āpe (go),yāpe + ana,a nt,14
yāpanāya,nt,for sustenance (of); for preservation (of); for continuance,√yā 1 *āpe (go),"yāpe + ana + āya
yāpana + āya",a nt,9
yāpetuṃ,inf,to sustain oneself (with); to support oneself (by); to keep oneself going,√yā 1 *āpe (go),yāpe + tuṃ,,14
yāma 1,masc,watch (of the night); one eighth of the day; about three hours,"√yam 1 a (control, strive, end)",√yam > yām + *a,a masc,2
yāva tāva,idiom,as long as … then; as far as ... that much; until ... to that extent,,,,9
yāva 1,ind,as long as; as far as; so much so; up to; until; from … to,,,,9
yāvakīvañca,sandhi,and as long as,,yāva + kīvaṃ + ca,,17
yāvajīvaṃ,ind,for one's entire life; as long as one lives,,"yāva + jīva + aṃ
yāvajīva + aṃ",,20
yāvañcidaṃ,sandhi,and in this case; and in this regard; and as far as this; to such an extent,,yāva + [ṃ] + ca + idaṃ,,16
yāvataka,adj,as much as; as long as; as big as; as far as,,"yāva + tā + ka
yāvatā + ka",a adj,11
yāvatatiyañce,sandhi,if up to the third time,,yāva + tatiyaṃ + ce,,17
yāvatatiyaṃ,ind,as many as three times; after the third time; up to the third time,,"yāva + tatiya + aṃ
yāvatatiya + aṃ",,20
yāvatā 1,ind,as long as; as far as; of all; to the extent that,,yāva + tā,,13
yāvadeva,sandhi,as much as; only as much as; only as far as,,yāva + [d] + eva,,16
yiṭṭha 1,pp,given (as a gift); offered,"√yaj 1 a (honour, sacrifice)",√yaj > yij + ta,a pp,11
yuñjantāyasmanto,sandhi,the venerable must try (to) (get back); the venerable must strive (for),,yuñjantu + āyasmanto,,16
yuta,pp,engaged (in); devoted (to),"√yu 1 a (unite, fasten)",√yu + ta,a pp,11
yutta 3,pp,engaged (in); practising (to),"√yuj 2 ṃa (yoke, join)",√yuj + ta,a pp,11
yena tena,idiom,where … there,,,,9
yena 2,ind,because of; because of which,,ya + ena,,9
yena 3,ind,where; wherever; in which direction; to; towards,,ya + ena,,9
yenaññataro,sandhi,where a certain; to another,,yena + aññataro,,16
yenicchakaṃ,ind,wherever one wants; as one likes; according to desire; (comm) by whichever way one wants to go,,"yena + icchaka + aṃ
yenicchaka + aṃ",,20
yebhuyyena,ind,mostly; almost all; more or less; generally; largely; by and large; for the most part,,"yad + bhūya + ena
yebhuyya + ena",,17
yesīdha,sandhi,among those here,,yesu + idha,,16
yeva,sandhi,only; just; merely; exclusively,,[y] + eva,,16
yogakkhema,masc,(spiritual) safety; security; sanctuary,,yoga + khema,a masc,19
yogī,masc,meditator; practitioner,"√yuj 2 ṃa (yoke, join)",√yuj > yoj > yog + *ī,ī masc,5
yodha 2.1,sandhi,whoever here; whoever in this regard,,yo + idha,,16
yodheti,pr,fights (against); engages in battle (with); attacks,√yudh 3 *e (fight),yodhe + ti,eti pr,14
yoniso,ind,properly; prudently; thoroughly; carefully; intelligently,"√yu 1 a (unite, fasten)","√yu > yo + *ni + so
yoni + so",,13
rakkhati 1,pr,protects; watches over; guards (something against something),√rakkh 1 a (protect),rakkha + ti,ati pr,3
rajakkha,adj,with dirt in the eye,,rajas + akkha,a adj,16
rajas 1,masc,(mental) impurity; defilement,√raj 1 a (colour),√raj + as,as masc,18
rajas 2,masc,dust; dirt,√raj 1 a (colour),√raj + as,as masc,18
rajas 3,masc,pollen; spore,√raj 1 a (colour),√raj + as,as masc,18
rañño 2,masc,of the king; king's,"√rāj 1 a (rule, shine)","√rāj + a + ino
rāja + ino > rājino > rājyno > rañño",rāja masc,18
raṭṭha,nt,country; land; kingdom; realm,"√rāj 1 a (rule, shine)",√rāj + ta,a nt,9
raṭṭhapāla,masc,name of an arahant monk,,raṭṭha + pāla,a masc,19
rata,pp,delighted (with); devoted (to); taking pleasure (in); pleased (with); enjoying,"√ram 1 a (delight, please)",√ram + ta,a pp,11
ratana 1,nt,jewel; gem; gemstone,,,a nt,9
ratī 1,fem,pleasure; enjoyment; delight,"√ram 1 a (delight, please)",√ram + tī,ī fem,8
ratta 1.1,nt,day; night,,ratti + a,a nt,9
rattaññū,adj,old; experienced; of long standing,,ratta + ñū,ū adj,6
rattindiva 1,nt,day and night,,ratti + [n] + diva,a nt,19
ratto,ind,by night; at night,,ratti + o,,13
ramati,pr,enjoys; finds pleasure (in); takes delight (in); likes,"√ram 1 a (delight, please)",rama + ti,ati pr,3
rasa 1,masc,taste; flavour,√ras 1 a (taste),√ras + a,a masc,2
rasataṇhā,fem,craving for tastes; desire for flavours,,rasa + taṇhā,ā fem,19
raho 1,ind,privately; secretly; in seclusion; alone,"√rah 1 a (leave, desert)","√rah + as + o
rahas + o",,13
rāga 1.1,masc,desire (for); passion (for); infatuation (with); lust (for),√raj 3 ya (desire),√raj > rag > rāg + *a,a masc,2
rāgadosa 2.1,adj,ruined by desire; spoiled by passion; corrupted by lust,,rāga + dosa,a adj,20
rāgānusaya 1,masc,underlying tendency towards desire,,rāga + anusaya,a masc,19
rāja 1,masc,king; sovereign; lord; ruler,"√rāj 1 a (rule, shine)",√rāj + a,rāja masc,18
rājagaha,masc,name of a city; capital of Magadha,,rāja + gaha,a masc,19
rājañña,masc,man of the ruling class; young noble,"√rāj 1 a (rule, shine)","√rāj + an + ya
rājan + ya",a masc,2
rājadhānī,fem,royal city; capital city,,rāja + dhānī,ī fem,19
rājamahāmatta,masc,royal minister; cabinet member,,rāja + mahāmatta,a masc,19
rājā,masc,king; sovereign; lord; ruler,"√rāj 1 a (rule, shine)","√rāj + a + ā
rāja + ā",rāja masc,18
rājāno,masc,authorities; officers,"√rāj 1 a (rule, shine)","√rāj + a + āno
rāja + āno",rāja masc,18
rāhula,masc,name of an arahant monk; Buddha's son,,,a masc,2
ritta 2,pp,free (from); rid (of),√ric 2 ṃa (empty),√ric + ta,a pp,11
rukkha 1,masc,tree,,,a masc,2
rukkhamūla,nt,foot of a tree; base of a tree,,rukkha + mūla,a nt,19
rukkhamūlagata,adj,gone to the foot of a tree,,rukkhamūla + gata,a adj,19
ruci,fem,liking; preference; choice; inclination; approval,"√ruc 1 *a (shine, like)",√ruc + i,i fem,8
ruppanta,prp,being hurt; being oppressed; suffering,"√rup 3 ya (be broken apart, hurt)",ruppa + nta,anta prp,13
rūpa 1,nt,matter; material thing; materiality; experience of material world; physical objects of consciousness; first of the five aggregates,"√rūp 8 *e (form, produce)",√rūp + a,a nt,9
rūpa 3,nt,(object of the eye) form; material form; shape; sight,"√rūp 8 *e (form, produce)",√rūp + a,a nt,9
rūpa 4,adj,of character; having nature of; of type; of kind; having the quality of,"√rūp 8 *e (form, produce)",√rūp + a,a adj,11
rūpagata 1,adj,related to matter; connected with materiality; kind of matter,,rūpa + gata,a adj,19
rūpavant 1,adj,material; physical; having material form; possessing form,"√rūp 8 *e (form, produce)","√rūp + a + vant
rūpa + vant",ant adj,6
rūhati 1,pr,grows; ascends; increases,"√ruh 1 *a (ascend, grow)",rūha + ti,ati pr,3
re,ind,(expressing contempt) hey!; oh!,,are > (a)re,,13
rogato,ind,as disease; as illness,"√ruj 1 a (hurt, be painful)","√ruj > rog + *a + to
roga + to",,11
roceti,pr,approves (of); agrees (with); finds pleasing,"√ruc 1 *e (shine, like)",roce + ti,eti pr,14
rohitassa,masc,previous name of a deity,,rohita + assa,a masc,16
lakkhaṇa 1,nt,auspicious sign; birthmark; prognosticative mark,√lakkh 8 *e (mark),√lakkh + aṇa,a nt,9
lajjati 1,pr,is ashamed (of); is embarrassed (about),√lajj 1 a (be ashamed),lajja + ti,ati pr,3
lajjī,adj,who has conscience; sensitive,√lajj 1 a (be ashamed),√lajj + ī,ī adj,5
laddha 1,pp,obtained; gained; won; received,√labh 1 a (get),√labh > ladh + ta,a pp,11
laddhāna,abs,having got; having obtained,√labh 1 a (get),√labh > ladh + tvāna,,8
labbhati 1,pr,is obtained (among); is acquired (from); is received (from),√labh 1 ya (get),labbha + ti,ati pr,13
labbhati 3,pr,is possible to get (to),√labh 1 ya (get),labbha + ti,ati pr,13
labhati 1,pr,gets; receives; obtains (something for someone),√labh 1 a (get),labha + ti,ati pr,3
lahu 1,adj,quick; fast; swift,,,u adj,11
lahuṭṭhāna,nt,agility; nimbleness; lightness,,lahu + uṭṭhāna,a nt,19
lābha 1,masc,gain; acquisition; benefit; profit,√labh 1 a (get),√labh > lābh + *a,a masc,2
lābhī,adj,who gains; who gets; who has,√labh 1 a (get),√labh > lābh + *ī,ī adj,5
licchavi,masc,name of a prominent group of Khattiyas based in Vesālī,,,i masc,4
licchaviputta,masc,young Licchavi,,licchavi + putta,a masc,19
luddha 2,pp,greedy; covetous,√lubh 3 ya (be greedy),√lubh + ta,a pp,11
loka 1,masc,world; universe; cosmos,√lok 8 *e (look),√lok + a,a masc,2
loka 2,masc,world; plane of existence,√lok 8 *e (look),√lok + a,a masc,2
lokadhamma 1,masc,worldly matter; things of the world; vicissitudes of life,,loka + dhamma,a masc,19
lokadhātu,fem,world system; world sphere,,loka + dhātu,u fem,19
lokanātha,masc,saviour of the world; protector of the planet,,loka + nātha,a masc,19
lokanirodha,masc,ending of the world; cessation of the world; (comm) truth of cessation,,loka + nirodha,a masc,19
lokanirodhagāmī,adj,leading to the end of the world,,loka + nirodha + gāmī,ī adj,19
lokasamudaya,masc,source of the world; (comm) truth of arising,,loka + samudaya,a masc,19
lokavidū,masc,who knows the world; who understands the universe; epithet of the Buddha,,loka + vidū,ū masc,6
lokānukampā,fem,compassion for the world,,loka + anukampā,ā fem,19
lokāmisa 1,nt,worldliness; material pleasure; worldly pleasure; material delight,,loka + āmisa,a nt,19
lokāmisādhimutta,adj,intent on material pleasure; fixated on worldly gain,,lokāmisa + adhimutta,a adj,19
lokuttara,adj,supra-mundane; transcendental,,loka + uttara,a adj,19
loṇa 2,nt,sea-salt; brine,,,a nt,9
loṇika,adj,salty,,loṇa + ika,a adj,11
loma 1,masc,body hair,,,a masc,2
lohita 1,nt,blood,,,a nt,9
saka 1,adj,one's own; my own,,sa + ka,a adj,11
saka 2,nt,"one's own (property, possessions, etc.)",,sa + ka,a nt,9
sakadāgāmī,adj,returning (only) once; who has attained the second stage of the path,,saki > saka + [d] + āgāmī,ī adj,19
sakuṇa,masc,bird,,,a masc,2
sakka 1,ptp,able; capable; proficient,"√sak 4 ṇo (be able, be powerful)",√sak + ya,a ptp,14
sakka 3,masc,Sakyan; man of the Sakyan race,"√sak 4 ṇo (be able, be powerful)",√sak + ya,a masc,2
sakkacca,ind,respectfully; reverentially; carefully,,sat + kacca,,17
sakkaroti,pr,honours; esteems; respects,,sat + karoti,oti pr,17
sakkā nu,idiom,is it possible (to)?; is one able (to)?,,,,9
sakkā 1,ind,it is possible (to); one is able (to),"√sak 4 ṇo (be able, be powerful)",√sak + yā,,9
sakkāyadiṭṭhi,fem,view that one is an embodied being; belief in self-identity; the view that this mind-body complex is an independent entity,,sakkāya + diṭṭhi,i fem,19
sakkuṇāti,pr,is able (to),"√sak 4 uṇā (be able, be powerful)",sakkuṇā + ti,āti pr,3
sakkoti,pr,is able (to),"√sak 4 ṇo (be able, be powerful)",sakko + ti,oti pr,3
sakya 2,adj,of the Sakyan family,"√sak 4 uṇā (be able, be powerful)",√sak + ya,a adj,11
sakyamuni,masc,Sakyan sage,,sakya + muni,i masc,19
sakha,masc,friend; companion,,,a2 masc,18
sagga 1.1,adj,heavenly,√sar 1 a (shine),√sar + ga,a adj,11
sagga 1.2,masc,heaven; paradise,√sar 1 a (shine),√sar + ga,a masc,2
saṅkhata,pp,created; constructed; conditioned; fabricated,"√kar 7 o (do, make)",saṃ + √kar > khar + ta,a pp,11
saṅkhalikhita,adj,perfect; faultless; flawless,,saṅkha + likhita,a adj,19
saṅkhā 2,fem,definition; classification; concept; category,"√khā 1 a (tell, announce)",saṃ + √khā + ā,ā fem,7
saṅkhāra 1,masc,intention; volitional formation; choice; karmic activity,"√kar 7 o (do, make)",saṃ + √kar > khār + *a,a masc,2
saṅkhāra 3,masc,mental formation; mental activity; thought processes; fourth of the five aggregates,"√kar 7 o (do, make)",saṃ + √kar > khār + *a,a masc,2
saṅkhāragata 1,adj,related to mental activity; concerning intention; connected with volitional formation,,saṅkhāra + gata,a adj,19
saṅga 1,masc,tie; bond; snare; sticking point,"√sañj 1 a (clasp, embrace)",√sañj > saṅg + a,a masc,2
saṅgara 1,masc,dealing; bargaining; negotiating; transacting,"√gir 1 a (call, speak)",saṃ + √gir > gar + a,a masc,2
saṅgaha 1,masc,support (of); maintenance (of); looking after,√gah 6 ṇhā (grasp),saṃ + √gah + a,a masc,2
saṅgaha 3,masc,friendliness; collaboration; mutual assistance; good relationship,√gah 6 ṇhā (grasp),saṃ + √gah + a,a masc,2
saṅgha 1,masc,community; fellowship; monastic order,√ghaṭ 1 a (join together),saṃ + √ghaṭ + a,a masc,2
saṅghapariṇāyaka,masc,leader of the community,,saṅgha + pariṇāyaka,a masc,19
saṅghapitar,masc,father of the community; community elder,,saṅgha + pitar,ar2 masc,19
saṅghāṭi 1,fem,outer robe; double robe; patchwork robe,√ghaṭ 1 a (join together),saṃ + √ghaṭ > ghāṭ + *i,i fem,8
saṅghāṭika,masc,ascetic who wears a patchwork robe; patchwork robe wearer,√ghaṭ 1 a (join together),"saṃ + √ghaṭ > ghāṭ + *i + ka
saṅghāṭi + ka",a masc,2
saṅghādisesa 1,adj,related to an offence requiring suspension,,saṅgha + ādi + sesa,a adj,19
saṅghādisesa 2,masc,offence requiring suspension,,saṅgha + ādi + sesa,a masc,19
saṅghika,adj,belonging to the community,√ghaṭ 1 a (join together),"saṃ + √ghaṭ + a + ika
saṅgha + ika",a adj,11
sacepi,sandhi,even if,,sace + api,,16
sacca 1,adj,true; correct; accurate; honest; reliable,√as 1 a (be),"sa + nta > santa > sat + ya
sat + ya",a adj,11
sacca 2,nt,truth,√as 1 a (be),"sa + nta > santa > sat + ya
sat + ya",a nt,9
saccato,ind,as true; truly; really,√as 1 a (be),"sa + tya + to
sacca + to",,11
saccaṃ,ind,truly; really,√as 1 a (be),"sa + tya + aṃ
sacca + aṃ",,13
sacchi,adj,personal; with one's own eyes; witnessing for oneself,√akkh 1 a (see),sa + √akkh + i,i adj,11
sajitar,masc,designator; assigner; author,"√saj 1 a (relinquish, let loose)",√saj + itar,ar masc,6
sañcaritta,nt,matchmaking; carrying proposals,"√car 1 a (move, walk)","saṃ + √car + a > cari + tta
sañcara + tta",a nt,9
sañcicca,ind,intentionally; purposefully; wilfully; deliberately,"√cit 8 *e (think, intend)",saṃ + √cit + ya,,13
sañcetanā,fem,wishing; intending; willing; making a choice,"√cit 8 *e (think, intend)",saṃ + √cit > cet + *anā,ā fem,7
sañjānāti,pr,knows; knows as; perceives; conceives; recognizes,√ñā 5 nā (know),saṃ + jānā + ti,āti pr,3
saññatta 1.2,pp,instructed; informed,√ñā 5 *āpe (know),saṃ + ñāpe + ta,a pp,14
saññā 1,fem,perception; conception; recognition; third of the five aggregates,√ñā 5 nā (know),saṃ + √ñā + ā,ā fem,7
saññāgata 2,adj,related to perception; concerning recognition; kind of perception,,saññā + gata,a adj,19
saññācikā,fem,one's own begging,,"sayaṃ > saṃ + yāca + ikā
saññāca + ikā",ā fem,17
saññāvipallāsa,masc,deluded conception; distortion of perception; inversion of perception,,saññā + vipallāsa,a masc,19
saññāvedayita,nt,perception and felt experience,,saññā + vedayita,a nt,19
saññāvedayitanirodha,masc,ending of recognition and feeling; cessation of conception and what is felt,,saññāvedayita + nirodha,a masc,19
sañhita,pp,connected with; concerning; having,"√dhā 1 a (place, support)",saṃ + √dhā > (da)h + ita,a pp,11
saṇikaṃ,ind,slowly; gradually,,saṇiṃ + ka + aṃ,,13
saṇṭhapeti,pr,makes stable; steadies; establishes,√ṭhā 1 *āpe (stand),saṃ + ṭhape + ti,eti pr,14
saṇṭhāti,pr,remains (in); continues (in); persists (in); is established (in); stands firm (in),√ṭhā 1 a (stand),saṃ + ṭhā + ti,āti pr,3
saṇha 1,adj,(of speech) smooth; soft; gentle; mild; polite,,,a adj,11
sat 2,ind,true; good; right,√as 1 a (be),"sa + nta
santa > sat",,13
sata 1.1,pp,mindful; present; attentive,√sar 1 a (remember),√sar + ta,a pp,11
sata 2.1,card,one hundred (100),,,a2 card,12
satādhipateyya,adj,ruled by mindfulness; governed by awareness; (or) having mindfulness as controlling influence,,sati + ādhipateyya,a adj,19
sati 1.2,fem,mindfulness; presence; recollection; awareness,√sar 1 a (remember),√sar + ti,i fem,8
sati 2.1,prp,when is; when exists,√as 1 a (be),sa + nta + ti,santa prp,10
satipaṭṭhāna 1,masc,attending mindfully; being present with mindfulness,,sati + upaṭṭhāna,a masc,19
satipārisuddhi,fem,purity of mindfulness; pure awareness,,sati + pārisuddhi,i fem,19
satimant 1,adj,mindful; fully present; attentive,√sar 1 a (remember),"√sar + ti + mant
sati + mant",ant adj,6
satī 1.2,prp,when is; when exists,√as 1 a (be),sa + nta + ī,santa prp,10
sato,prp,when being; when is; when are,√as 1 a (be),sa + nta + to,santa prp,10
satta 1.1,card,seven (7),,,a1 card,12
satta 2.1,masc,being; living being; creature,√as 1 a (be),sa + tta,a masc,2
sattantarā,sandhi,seven (spans) inside,,satta + antarā,,16
sattabojjhaṅgā,masc,seven elements of awakening; seven factors of enlightenment,,satta + bojjhaṅga + ā,a masc pl,19
sattama 1.1,ordin,seventh (7th),,satta + ma,a ordin east,12
sattama 2.1,adj,best; most excellent; highest,√as 1 a (be),"sa + nta > (n)t(a) + tama
santa + tama",a adj,11
satti 1,fem,spear; javelin; weapon,"√sak 4 ṇo (be able, be powerful)",√sak + ti,i fem,8
satthar 1,masc,master; teacher,"√sās 1 a (order, instruct)",√sās + tar,ar masc,6
satthahāraka,masc,assassin; hit man,,sattha + hāraka,a masc,19
satthusāsana,nt,teacher's instruction; master's teaching,,satthu + sāsana,a nt,19
sadattha 2.1,masc,one's own benefit; personal welfare,,sa + [d] + attha,a masc,19
sadara,adj,terrible; fearful; frightful; troublesome,√dar 1 a (fear),sa + √dar + a,a adj,11
sadā,ind,always; ever; all the time,,saṃ + dā,,6
sadda 1,masc,sound; noise,√sadd 8 *e (sound),√sadd + a,a masc,2
saddamanussāvesi,aor,proclaimed aloud; announced aloud,,saddaṃ + anussāvesi,esi aor,17
saddahati,pr,believes (in); has faith (in); has confidence (in); has conviction (in),"√dhā 1 a (place, support)",sad + daha + ti,ati pr,3
saddhamma 1.1,masc,"good teaching; true doctrine; true nature of things; (comm) the five precepts, ten precepts, four foundations of mindfulness etc.",,sat + dhamma,a masc,19
saddhammamaññāya,ger,understanding the true teaching; comprehending the good doctrine,,saddhammaṃ + aññāya,,17
saddhā 1,fem,faith (in); belief (in); trust (in),"√dhā 1 a (place, support)",sad + √dhā + ā,ā fem,7
saddhā 2,fem,confidence (in); assurance (in); conviction (in),"√dhā 1 a (place, support)",sad + √dhā + ā,ā fem,7
saddhādhana,nt,value of confidence; wealth of faith,,saddhā + dhana,a nt,19
saddhānusārī 1,masc,stream enterer through faith,,saddhā + anusārī,ī masc,19
saddhāpabbajita,adj,who ordained out of confidence,,saddhā + pabbajita,a adj,19
saddhiṃ,ind,together (with); with,,,,5
saddheyyavacasa,adj,whose word can be trusted; believable; trustworthy; credible,,saddheyya + vacasa,a adj,19
sadhana 1.1,adj,rich; wealthy,√dhan 1 a (be rich),sa + √dhan + a,a adj,11
sanantana,adj,eternal; perpetual; everlasting; ancient,,sanaṃ + tana,a adj,11
santa 1.1,prp,existing; being; there is,√as 1 a (be),sa + nta,santa prp,10
santa 2.1,pp,still; calm; at peace; tranquil,"√sam 3 ya (be calm, be tired)",√sam + ta,a pp,11
santatta 1,pp,heated; made red-hot; scorched,"√tap 1 a (burn, radiate heat)",saṃ + √tap + ta,a pp,11
santadassāvī,adj,who sees peace (in); who sees (something) as peaceful,,santa + dassāvī,ī adj,19
santaruttaraparama,nt,an under robe and upper robe at most; not more than an inner and outer robe,,santara + uttara + parama,a nt,19
santike 1,ind,to; in the presence (of); near (to); nearby; close (to); on the verge (of),,"sa + antika + e
santika + e",,13
santindriya,adj,calm; at peace,,santa + indriya,a adj,20
santipada,nt,state of peace; tranquillity; epithet of Nibbāna,,santi + pada,a nt,19
santuṭṭha 1,pp,satisfied; pleased; content; happy with,"√tus 3 ya (be content, be pleased)",saṃ + √tus + ta,a pp,11
santuṭṭhi,fem,satisfaction; contentment (with),"√tus 3 ya (be content, be pleased)",saṃ + √tus + ti,i fem,8
santussaka,adj,who is satisfied; who is pleased; who is content,"√tus 3 ya (be content, be pleased)",saṃ + tussa + aka,a adj,13
santhata 1,nt,spread; bedspread; coverlet; counterpane,"√thar 1 a (spread, expand)",saṃ + √thar + ta,a nt,9
santhambhati 1,pr,stands firm; remains steadfast; is resolute; takes heart,"√thambh 1 a (support, be stiff)",saṃ + thambha + ti,ati pr,3
santhava 1,nt,intimacy (with); close association (with),"√thu 1 a (be familiar, praise)",saṃ + √thu > thav + *a,a nt,9
santhā,fem,meeting together; assembly,√ṭhā 1 a (stand),saṃ + √ṭhā + ā,ā fem,7
santhāgāra,nt,meeting hall; council hall; (comm) sacrificial temple,,santhā + agāra,a nt,19
sandassiyamāna 1,prp,being compared; being checked; being verified,√dis 1 *e + iya (see),saṃ + dassiya + māna,māna prp,14
sandassetabba,ptp,should be compared (to); should be checked (with); should be verified (with),√dis 1 *e (see),saṃ + dasse + tabba,a ptp,14
sandassetvā,abs,having instructed; having explained,√dis 1 *e (see),saṃ + dasse + tvā,,14
sandiṭṭhika,adj,directly visible; evident; real; perceivable; (comm) able to be seen by oneself,√dis 1 a (see),"saṃ + √dis + ti + ka
sandiṭṭhi + ka",a adj,11
sandissati 2,pr,is seen (in); is comparable (with); agrees (with),√dis 1 ya (see),saṃ + dissa + ti,ati pr,13
sannicaya,masc,hoard; pile; stockpile; cache; stash; accumulation,"√ci 5 nā (gather, accumulate)",saṃ + ni + √ci > cay + *a,a masc,2
sappāṇaka,adj,containing living beings,"√an 1 a (breath, blow)","sa + pa + √an + a + ka
sappāṇa + ka",a adj,11
sappurisa 1,masc,good man; moral man; virtuous man; superior man,,sat + purisa,a masc,19
sappurisadhamma 1,masc,teaching of righteous men,,sappurisa + dhamma,a masc,19
sappurisabhūmi,fem,level of good person; realm of the great man,,sappurisa + bhūmi,i fem,19
sabba 1,pron,all; every,,,a pron,10
sabba 2,pron,everything; everyone; all,,,a pron,10
sabbattatāya,ind,to all beings; encompassing all living beings,,"sabba + attatā + āya
sabbattatā + āya",,20
sabbattha 1,ind,everywhere; every place,,sabba + ttha,,8
sabbatthamaparājita,adj,undefeated everywhere; unconquered in every respect,,sabbattha + [m] + aparājita,a adj,16
sabbadā,ind,always; at all times,,sabba + dā,,13
sabbadhamma,masc,everything; all things; all mental phenomena; all states of mind; all teachings,,sabba + dhamma,a masc,19
sabbadhi,ind,everywhere; in every way; in all respects,,sabba + dhi,,13
sabbanimitta,nt,all objects; all signs; all mental images,,sabba + nimitta,a nt,19
sabbapāṇabhūtahitānukampī,adj,compassionate for the well-being of all breathing beings,,sabbapāṇabhūta + hita + anukampī,ī adj,19
sabbapāṇabhūtā,masc,all living beings,,"sabba + pāṇa + bhūta + ā
sabbapāṇabhūta + ā",a masc pl,19
sabbaphāliphulla,adj,in full flower; in full blossom,,sabba + phāliphulla,a adj,19
sabbarasa,masc,all tastes; every flavour,,sabba + rasa,a masc,19
sabbaloka,masc,whole world; entire universe; all the world; every world,,sabba + loka,a masc,19
sabbasaṅkhāra,masc,all activities; all processes; all conditions; all fabrications; all formations,,sabba + saṅkhāra,a masc,19
sabbaso 1,ind,in every way; entirely; completely; altogether,,sabba + so,,13
sabbaso 2,ind,all around; everywhere; from all sides,,sabba + so,,13
sabbavidū 1,adj,all-knowing; omniscient,,sabba + vidū,ū adj,6
sabbākāraparipūra,adj,complete in every aspect; fulfilled in every way,,sabba + ākāra + paripūra,a adj,19
sabbāneva,sandhi,in its entirety,,sabbāni + eva,,16
sabbābhibhū,adj,all conquering; victorious over everything,,sabba + abhibhū,ū adj,6
sabbāsavasaṃvarasaṃvuta,adj,restrained with regard to all the effluents,,sabbāsava + saṃvara + saṃvuta,a adj,19
sabbāvant,adj,entire; whole; complete,,sabba + vant,ant adj,6
